"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.5","97.12557","100.14577","99.71989","88.14016","88.32685","88.5101","91.85464","97.8233","98.03665","94.00799","97.84076","","","101.25523","101.55587","","","","",
"Afghanistan","AFG","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","4.4014","","","5.56501","6.42259","","9.14528","12.99098","","","10.94325","11.07097","","","","","","","","14.85886","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.37704","34.09915","33.64059","33.21944","","","","","","","",
"Albania","ALB","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.08828","","","","97.43011","97.05554","","94.95004","93.79259","","","97.20942","92.63437","91.32258","88.3239","93.6264","98.31252","88.29848","105.1654","102.98231","104.64122","104.83399","",
"Andorra","AND","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","37.92142","37.82186","37.58725","38.8956","40.31995","42.55295","44.1586","45.85603","44.75949","42.08062","46.02384","49.19199","50.59469","52.12598","54.50288","58.2606","57.99902","58.35184","59.07694","59.42411","60.90177","61.33506","62.31718","62.76654","63.84608","65.1724","66.50004","67.60846","68.87005","70.19568","70.04775","71.35112","72.70602","75.07283","77.15137","77.68412","76.64277","78.71465","80.37488","79.89162","81.65336","82.70453","84.35481","82.28931","82.78079","82.48925","81.66488","81.85764","",
"United Arab Emirates","ARE","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","32.60553","40.5838","44.55847","52.38438","55.53622","61.74281","66.32334","69.93199","76.72293","77.38467","76.31995","71.49298","75.90429","77.06147","74.39295","80.22073","87.64423","94.04155","93.44091","91.7828","91.28344","89.23639","85.48654","87.54389","85.63764","85.06304","81.57958","78.14829","79.25969","","","","","97.95421","","","","","94.60485","98.34944","102.99123","107.03466","","","",
"Argentina","ARG","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","73.97881","74.69324","","","","81.91291","81.67279","","","","","","","","","","","","","","","","","","","","95.35022","94.29742","101.89649","98.84431","98.90572","98.64281","102.64082","100.36038","98.93506","97.01966","99.25808","101.9599","104.98545","104.7266","104.31629","104.1188","102.79186","100.32931","101.20665","100.88934","102.76964","","",
"Armenia","ARM","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.08288","89.72151","99.18153","93.23462","94.96553","103.48025","106.82256","","96.47936","95.5321","95.69988","","96.50006","95.52336","91.29588","92.16228","",
"American Samoa","ASM","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
